,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial,Distancia,Convergiu
527,-0.408110115128469,5.551115123125783e-17,5.0,116000.0,1e-09,0.9915152593435643,1.0,1.0
528,-1.2077003082203022,0.0,5.0,99500.0,1e-09,0.454948152743086,1.0,1.0
529,-1.2916584428951674,1.1102230246251565e-16,5.0,98300.0,1e-09,0.5686775567108865,1.0,1.0
530,-0.005284506668937983,0.4129583992082921,101.0,830000.0,1e-09,0.24887589140992483,1.0,0.0
531,-13.276070141753218,-5.995204332975845e-15,21.0,231600.0,1e-09,0.3924875268323321,1.0,1.0
532,-1.2198521727946672,0.0,19.0,204700.0,1e-09,0.15067484467698478,1.0,1.0
533,-14.102963095900165,-4.3298697960381105e-15,15.0,174100.0,1e-09,0.12376209635936375,1.0,1.0
534,-0.23298608312462024,2.5323521057885046e-11,4.0,91600.0,1e-09,0.7538230392328221,1.0,1.0
535,-0.6454751096728605,1.3877787807814457e-17,5.0,98800.0,1e-09,0.3607576107771542,1.0,1.0
536,-0.9206315589826208,2.875155669102014e-11,14.0,167100.0,1e-09,0.2798756704717037,1.0,1.0
537,-0.13619003339639485,-3.0268135220445913e-10,3.0,83400.0,1e-09,0.31767470629798644,1.0,1.0
538,-0.6330485625771143,0.0,6.0,106200.0,1e-09,0.45809591048069764,1.0,1.0
539,-0.8270339910848324,-7.632783294297951e-14,5.0,98900.0,1e-09,0.5785603743487936,1.0,1.0
540,-1.0113698431456433,-1.2867484855405564e-13,7.0,114700.0,1e-09,0.47675924176052176,1.0,1.0
541,-0.11350529456778885,1.0991352272782251e-10,3.0,82700.0,1e-09,0.0032809756138022506,1.0,1.0
542,-8.085667739781451,5.2735593669694936e-15,82.0,678300.0,1e-09,0.7254063868092548,1.0,1.0
543,-1.8166601597839063,5.866004348931142e-10,6.0,107300.0,1e-09,0.8724887214090253,1.0,1.0
544,-0.32865628569330335,-5.051514762044462e-15,5.0,98800.0,1e-09,0.28361800856922725,1.0,1.0
545,-6.46894457932973,1.5543122344752192e-15,54.0,523700.0,1e-09,0.33767600745750226,1.0,1.0
546,0.25219379475487846,0.7511642275204806,101.0,818800.0,1e-09,0.9664865465119457,1.0,0.0
547,-1.6924712870477794,0.0,5.0,99900.0,1e-09,0.7881811707938685,1.0,1.0
548,-0.8197771689765829,0.0,6.0,107500.0,1e-09,0.9153203744047479,1.0,1.0
549,-1.004742718634822,5.551115123125783e-17,28.0,281800.0,1e-09,0.8798585637225386,1.0,1.0
550,-1.7201623898140987,2.220446049250313e-16,17.0,188700.0,1e-09,0.16315660761910245,1.0,1.0
551,-1.0768815867648927,0.0,10.0,136400.0,1e-09,0.15127310151189233,1.0,1.0
552,-0.8754977976454885,-1.7430501486614958e-14,6.0,108000.0,1e-09,0.5065208203644214,1.0,1.0
553,-1.0526890805382618,-6.611378111642807e-12,6.0,106300.0,1e-09,0.933825293498857,1.0,1.0
554,-2.134175457200056,4.966005384687833e-11,4.0,91500.0,1e-09,0.6571869530760951,1.0,1.0
555,-1.0814801911462404,-1.1102230246251565e-16,5.0,99100.0,1e-09,0.5756866443185252,1.0,1.0
556,-0.5449571913273685,1.7594925516561943e-11,4.0,90000.0,1e-09,0.40460395829858464,1.0,1.0
557,-0.7080099189788019,5.551115123125783e-17,5.0,99000.0,1e-09,0.5941199793032598,1.0,1.0
558,-1.6139505568337023,-3.3306690738754696e-16,7.0,114400.0,1e-09,0.12245954889481647,1.0,1.0
559,-1.3022204396274493,-3.0531133177191805e-16,25.0,247900.0,1e-09,0.43543415408246655,1.0,1.0
